bbox_x1,bbox_y1,bbox_x2,bbox_y2,conf,class,median_m,angular_z,imu_gyro_z,imu_acc_x,imu_acc_y,imu_acc_z,cmd_linear_x,cmd_angular_z,bbox_width,bbox_height,bbox_area,bbox_center_x,bbox_center_y,bbox_diag,bbox_aspect_ratio,obj_w_cm,obj_h_cm,obj_d_cm,obj_area_cm2,obj_diag_cm,obj_aspect_ratio,ratio_w,ratio_h,ratio_mean,ratio_area,ratio_diag,ratio_diff,log_bbox_width,log_bbox_height,log_bbox_area,log_ratio_w,log_ratio_h,log_ratio_mean,log_ratio_area,log_ratio_diag,source_file
406.3436279296875,319.23748779296875,422.1378479003906,343.1549987792969,0.7502683401107788,0,1.061000108718872,0.0001864521224395,0.0,-0.0089782560244202,-0.1861491799354553,9.716268539428713,0.0,0.0,15.794219970703123,23.917510986328125,377.7584296697751,414.2407379150391,331.1962432861328,28.661903570141394,0.660362191522835,1.1,3.7,0.5,4.07,3.8600518131237567,0.2972972972972973,0.0696457312890666,0.1546983715034151,0.1121720513962408,0.010774081212583,0.1346753471442481,0.3630648942255377,2.759644111778021,3.174610909723112,5.934254919023658,-2.6643195103806856,-1.8662715840912976,-2.187712498376466,-4.530519105890052,-2.0048808075381648,preprocessed_SoldierFront100-110.csv
338.6227722167969,320.9971008300781,353.40887451171875,344.3261413574219,0.7362443208694458,0,1.062000036239624,0.0001864521224395,0.0,-0.0089782560244202,-0.1861491799354553,9.716268539428713,0.0,0.0,14.786102294921877,23.32904052734375,344.94557967968285,346.0158233642578,332.66162109375,27.62015483306241,0.6338067044631014,1.1,3.7,0.5,4.07,3.8600518131237567,0.2972972972972973,0.0743941830010051,0.1586006074987638,0.1164973952498844,0.0117989626183336,0.139754894078404,0.3365094071658041,2.693687773105493,3.149699001920806,5.843386667429206,-2.59836408384926,-1.841359834279388,-2.149877780750357,-4.439658915453364,-1.967857991962216,preprocessed_SoldierFront100-110.csv
406.4255065917969,319.2767944335937,422.0631103515625,343.3866271972656,0.7482797503471375,0,1.061000108718872,0.0001864521224395,0.0,0.0430956296622753,-0.1891419291496276,9.656414031982422,0.0,0.0,15.637603759765623,24.10983276367193,377.0200114725167,414.2443084716797,331.3317108154297,28.73706121439116,0.6485985992954691,1.1,3.7,0.5,4.07,3.8600518131237567,0.2972972972972973,0.0703432582701844,0.1534643577277343,0.1119038079989593,0.0107951829509099,0.1343231231727582,0.3513013019981718,2.749678575036177,3.18261979725732,5.932298269520609,-2.654354115381066,-1.8742804199805017,-2.1901066976618457,-4.528562637794529,-2.007499570043437,preprocessed_SoldierFront100-110.csv
338.8094482421875,321.0901794433594,353.3515930175781,344.4661865234375,0.7304112911224365,0,1.061000108718872,0.0001864521224395,0.0,0.0430956296622753,-0.1891419291496276,9.656414031982422,0.0,0.0,14.542144775390623,23.376007080078125,339.9372792290524,346.0805206298828,332.77818298339844,27.530195816163086,0.6220970384537556,1.1,3.7,0.5,4.07,3.8600518131237567,0.2972972972972973,0.0756422121351389,0.1582819506909404,0.1169620814130396,0.0119727968913277,0.140211564018644,0.3247997411564583,2.6770510386165305,3.151710200665288,5.828761130678988,-2.5817275700023314,-1.8433710204164109,-2.1458969374569925,-4.42503460909756,-1.9645956934278983,preprocessed_SoldierFront100-110.csv
406.4287109375,319.3094787597656,422.1810302734375,343.3381652832031,0.7489885687828064,0,1.061000108718872,0.0001864521224395,0.0,0.0430956296622753,-0.1891419291496276,9.656414031982422,0.0,0.0,15.7523193359375,24.0286865234375,378.50754334032536,414.3048706054688,331.3238220214844,28.73174795418785,0.6555630629486443,1.1,3.7,0.5,4.07,3.8600518131237567,0.2972972972972973,0.069830986570368,0.1539826155870414,0.1119068010787047,0.0107527579611288,0.1343479630713218,0.358265765651347,2.7569876773373534,3.1792484300061226,5.936236004885796,-2.6616631138625446,-1.870909074520508,-2.190079951360484,-4.532500007717115,-2.0073146620648847,preprocessed_SoldierFront100-110.csv
338.4222412109375,321.0092163085937,353.41949462890625,344.4618225097656,0.7412640452384949,0,1.061000108718872,0.0001864521224395,0.0,0.0430956296622753,-0.1891419291496276,9.656414031982422,0.0,0.0,14.99725341796875,23.45260620117193,351.72467851080086,345.9208679199219,332.7355194091797,27.83778632919693,0.6394706536802436,1.1,3.7,0.5,4.07,3.8600518131237567,0.2972972972972973,0.0733467635268502,0.1577649822054791,0.1155558728661647,0.011571550842643,0.1386623119912104,0.3421733563829462,2.707867145546481,3.1549816699987567,5.862848709070313,-2.612543265289479,-1.8466424691872665,-2.157992464444567,-4.45911929166664,-1.9757065000527023,preprocessed_SoldierFront100-110.csv
406.14501953125,319.29425048828125,422.1647033691406,343.6121520996094,0.746371865272522,0,1.061000108718872,0.0001864521224395,0.0,0.0430956296622753,-0.1891419291496276,9.656414031982422,0.0,0.0,16.019683837890625,24.317901611328125,389.5650954144076,414.1548614501953,331.4532012939453,29.120278313302727,0.6587609446708222,1.1,3.7,0.5,4.07,3.8600518131237567,0.2972972972972973,0.0686655249336582,0.152151285877249,0.1104084054054536,0.0104475479140924,0.1325554574579875,0.3614636473735249,2.773818268406161,3.191212812068449,5.9650309794964045,-2.678493462935734,-1.8828733789120595,-2.203559954877957,-4.561292265815784,-2.0207466302855925,preprocessed_SoldierFront100-110.csv
338.5035095214844,321.23272705078125,353.3662414550781,344.3673095703125,0.7372801899909973,0,1.061000108718872,0.0001864521224395,0.0,0.0430956296622753,-0.1891419291496276,9.656414031982422,0.0,0.0,14.86273193359375,23.13458251953125,343.84309838339686,345.93487548828125,332.8000183105469,27.49744913410821,0.6424465157755047,1.1,3.7,0.5,4.07,3.8600518131237567,0.2972972972972973,0.0740106196434658,0.159933726786567,0.1169721732150164,0.0118367942213625,0.1403785418166551,0.3451492184782074,2.6988569344655757,3.1413286200154324,5.840185446881601,-2.6035331758956666,-1.8329895045696003,-2.145810659235611,-4.436457965753471,-1.9634055115642652,preprocessed_SoldierFront100-110.csv
405.1405944824219,318.7962646484375,419.7717590332031,342.8916320800781,0.7488857507705688,0,1.0640000104904177,-4.288721794300986e-05,0.0,0.0430956296622753,-0.1891419291496276,9.656414031982422,0.0,0.0,14.63116455078125,24.095367431640625,352.54328580386937,412.4561767578125,330.8439483642578,28.18967377920159,0.607218984823135,1.1,3.7,0.5,4.07,3.8600518131237567,0.2972972972972973,0.0751819854244797,0.1535564880052991,0.1143692367148894,0.0115446816430486,0.1369314112450535,0.3099216875258376,2.683153880401469,3.1820196407677,5.86517341415669,-2.5878303312796627,-1.8736802673755049,-2.168314402462296,-4.461443795645006,-1.988267823466713,preprocessed_SoldierFront100-110.csv
336.0252380371094,320.5087585449219,351.5827331542969,344.7607421875,0.7256999015808105,0,1.061000108718872,-4.288721794300986e-05,0.0,0.0430956296622753,-0.1891419291496276,9.656414031982422,0.0,0.0,15.5574951171875,24.251983642578125,377.3001171015203,343.8039855957031,332.63475036621094,28.813093636768507,0.6414937164098157,1.1,3.7,0.5,4.07,3.8600518131237567,0.2972972972972973,0.0707054697246698,0.1525648398304242,0.111635154777547,0.0107871686636791,0.1339686693065797,0.3441964191125183,2.744542587883027,3.1884984549657625,5.933040939987762,-2.649218200723639,-1.880159039513152,-2.1925103139603346,-4.529305239448007,-2.0101418531102646,preprocessed_SoldierFront100-110.csv
